topic,readable_word,stem,prob_beta,frex_rank,lift_rank,score_rank,word_rank_by_beta
6,democrats,democrat,0.13216893684271183,2,19,1,1
6,left,left,0.050866476460071246,29,114,3,2
6,violence,violenc,0.047506384414430856,16,84,2,3
6,politicians,politician,0.03819601060577725,9,58,4,4
6,cause,caus,0.03400681977593726,35,122,11,5
6,liberal,liber,0.03363426222220376,56,190,9,6
6,media,media,0.029069990261278388,23,94,6,7
6,party,parti,0.026740736499743272,17,72,5,8
6,dems,dem,0.02328913542023367,15,71,8,9
6,leaders,leader,0.022379012439148253,8,50,13,10
9,mayor,mayor,0.12056948817941741,1,32,1,1
9,frey,frey,0.06644689478357292,2,41,2,2
9,walz,walz,0.062251850395862895,3,40,3,3
9,money,money,0.054449447648934945,47,156,7,4
9,omar,omar,0.046819303684597996,4,34,4,5
9,governor,governor,0.0407114929439363,16,55,5,6
9,corrupt,corrupt,0.03622865868351266,44,149,9,7
9,tim,tim,0.03171279669258518,5,12,6,8
9,tax,tax,0.024354433494960432,70,196,10,9
9,waltz,waltz,0.0202579345541997,23,83,8,10
11,law,law,0.14860632999836504,7,55,1,1
11,federal,feder,0.06068435303679263,2,35,3,2
11,enforcement,enforc,0.05339541061112365,1,25,2,3
11,government,govern,0.04578528571657399,26,119,4,4
11,crime,crime,0.02838851260666848,5,41,5,5
11,order,order,0.022822171827747297,42,150,7,6
11,breaking,break,0.015554506020580583,59,194,18,7
11,legal,legal,0.015291188778448294,40,149,11,8
11,justice,justic,0.014314687956963007,49,167,20,9
11,obstructing,obstruct,0.013853253152050162,3,29,6,10
13,trump,trump,0.1892494594631209,12,113,1,1
13,america,america,0.08431494252680334,48,205,3,2
13,us,us,0.05963362433863944,87,299,7,3
13,president,presid,0.0488391613820625,2,84,2,4
13,voted,vote,0.04097662322675911,3,88,4,5
13,republicans,republican,0.026220647722376433,16,118,5,6
13,usa,usa,0.023470194223062547,70,244,6,7
13,administration,administr,0.02078657634684164,72,236,12,8
13,elected,elect,0.019839099296303342,25,156,9,9
13,ever,ever,0.018092196533636487,128,321,18,10
19,use,use,0.06278368662841767,165,463,1,1
19,force,forc,0.027197524580519307,1,59,2,2
19,reason,reason,0.02154781906551546,21,200,4,3
19,situation,situat,0.014845718779570766,41,296,5,4
19,may,may,0.012647693840719093,118,399,10,5
19,threat,threat,0.012037699317423317,127,418,11,6
19,public,public,0.01045325483735873,206,626,12,7
19,claim,claim,0.00926145775647624,9,129,8,8
19,others,other,0.009164257083584445,115,413,47,9
19,justified,justifi,0.009100409360473925,52,317,6,10
20,can,can,0.09200915850229104,16,61,1,1
20,see,see,0.06474746989753595,18,66,2,2
20,know,know,0.06066616406306219,11,48,3,3
20,say,say,0.05641765509732171,5,42,4,4
20,think,think,0.05152370578405891,4,40,5,5
20,way,way,0.04516254494675445,23,76,8,6
20,even,even,0.038079114684507434,29,82,12,7
20,thing,thing,0.034015152054510826,3,30,7,8
20,life,life,0.026158848236445428,27,71,10,9
20,white,white,0.025422433924651773,14,46,6,10
25,people,peopl,0.28263435193498015,5,32,1,1
25,state,state,0.08720272690621016,14,59,2,2
25,minnesota,minnesota,0.07107424220977365,13,53,3,3
25,country,countri,0.06995450697322456,30,83,5,4
25,police,polic,0.05439745178597495,10,47,6,5
25,citizens,citizen,0.05265910181099977,18,61,7,6
25,city,citi,0.0468937985796765,1,7,4,7
25,protestors,protestor,0.02953236127070378,3,22,8,8
25,minneapolis,minneapoli,0.028408755693727396,41,88,9,9
25,help,help,0.026616687957961314,8,37,10,10
26,ice,ice,0.2606207300904939,7,65,1,1
26,agents,agent,0.0860209572706386,1,21,2,2
26,officer,offic,0.05841103225764243,30,124,4,3
26,trying,tri,0.047829007069763646,6,55,6,4
26,car,car,0.04392820521609545,8,68,3,5
26,run,run,0.02859115322413895,3,35,7,6
26,shoot,shoot,0.025111553097413968,13,76,8,7
26,stand,stand,0.025008701435203395,24,88,15,8
26,vehicle,vehicl,0.0247876855522802,4,34,5,9
26,dead,dead,0.017065567159367297,14,74,14,10
27,protesters,protest,0.20630001154736574,1,13,1,1
27,arrested,arrest,0.17881243348529216,14,42,2,2
27,want,want,0.10761786464831376,4,24,4,3
27,criminals,crimin,0.09035035230870087,12,44,3,4
27,start,start,0.05792270568689181,2,15,5,5
27,peaceful,peac,0.04531089551676703,3,18,6,6
27,care,care,0.037426491262502304,17,46,9,7
27,violent,violent,0.029323133436699553,24,50,8,8
27,rioters,rioter,0.026716287244231456,6,23,7,9
27,everyone,everyon,0.02637200146653125,8,27,11,10
28,good,good,0.10012383666585802,9,90,1,1
28,shot,shot,0.056373539344547065,3,58,2,2
28,show,show,0.04603706960177559,44,169,6,3
28,video,video,0.044267499010264263,1,28,3,4
28,woman,woman,0.0389230656058214,20,113,5,5
28,away,away,0.037045013828765634,27,125,10,6
28,face,face,0.034017356485929115,34,136,8,7
28,turn,turn,0.02888592486817858,13,93,11,8
28,wife,wife,0.025444421696752418,56,185,7,9
28,clearly,clear,0.024692270887846385,52,186,13,10
