topic,readable_word,stem,prob_beta,frex_rank,lift_rank,score_rank,word_rank_by_beta
1,officer,offic,0.05193025484664631,17,342,1,1
1,vehicle,vehicl,0.024182178562370045,27,538,2,2
1,use,use,0.022241616285846935,45,466,7,3
1,law,law,0.020761403962224804,157,NA,5,4
1,force,forc,0.019636862691593836,2,148,3,5
1,order,order,0.015419780196699984,12,244,6,6
1,dead,dead,0.015210477807029048,7,192,4,7
1,weapon,weapon,0.011474563910873061,15,306,8,8
1,enforcement,enforc,0.010318619921612694,112,953,9,9
1,police,polic,0.009763069790183728,133,894,17,10
2,car,car,0.04072447376412669,8,371,1,1
2,lies,lie,0.03304372093966411,12,351,3,2
2,trying,tri,0.02898829346680954,23,479,5,3
2,agent,agent,0.028180298126661958,38,638,2,4
2,law,law,0.023888394456010213,39,675,10,5
2,run,run,0.019820131466464913,15,365,8,6
2,vehicle,vehicl,0.016866019153571336,25,585,4,7
2,cnn,cnn,0.016463459683372806,105,827,17,8
2,told,told,0.016291539707125307,1,79,7,9
2,blocking,block,0.014550772333698867,4,139,6,10
4,work,work,0.019290657981848786,78,947,13,1
4,korean,korean,0.018226598850624512,10,196,1,2
4,us,us,0.017810769301625284,216,NA,19,3
4,korea,korea,0.016614490215376813,14,272,2,4
4,workers,worker,0.01462776612532362,6,165,3,5
4,american,american,0.013095606053420332,488,NA,25,6
4,south,south,0.013001391220301828,20,293,8,7
4,u.s,u.,0.012453917356125032,17,332,12,8
4,hire,hire,0.012223169360519618,21,321,11,9
4,visa,visa,0.01167491760760993,3,117,4,10
8,children,children,0.03745273655801192,5,114,1,1
8,wrong,wrong,0.033002289445213245,11,191,3,2
8,gang,gang,0.023783015970933016,4,102,2,3
8,detained,detain,0.01996513037634172,6,152,7,4
8,members,member,0.019083334131188016,8,132,6,5
8,people,peopl,0.014799020094978658,607,NA,30,6
8,self,self,0.014420881645593403,9,188,8,7
8,tied,tie,0.012757024530913326,2,74,5,8
8,kids,kid,0.012446243146063482,36,532,12,9
8,arrest,arrest,0.010904099071507745,100,979,16,10
10,country,countri,0.0937878835010355,15,177,1,1
10,american,american,0.0614885039675123,46,574,2,2
10,usa,usa,0.030523425330707066,16,187,4,3
10,america,america,0.028732420532600573,79,873,7,4
10,shame,shame,0.022347855755336876,4,81,5,5
10,sad,sad,0.02180879588343115,10,141,8,6
10,nazi,nazi,0.020602161906798713,1,38,3,7
10,shit,shit,0.01908462451622826,5,100,9,8
10,war,war,0.017980065601363712,21,200,11,9
10,fascist,fascist,0.015059017793149375,3,55,6,10
11,turn,turn,0.03788204099956191,12,326,1,1
11,right,right,0.03073302858992754,54,708,7,2
11,see,see,0.027293310183057116,62,717,9,3
11,believe,believ,0.02663394176841983,24,411,6,4
11,eyes,eye,0.02048728831736136,7,218,5,5
11,folks,folk,0.019507615034297626,2,62,3,6
11,beginning,begin,0.017444373155999032,3,70,4,7
11,handle,handl,0.0144354441191203,1,61,2,8
11,way,way,0.013579853316864007,116,927,13,9
