Word,Frequency
agent,226
think,222
enforcement,199
officer,196
law,191
trump,170
look,161
video,157
try,148
immigration,144
federal,135
law enforcement,130
arrest,128
let,122
president,122
time,121
vehicle,119
day,118
talk,118
thing,118
lot,116
year,116
way,114
tell,113
mean,111
administration,108
thank,108
police,107
family,105
city,104
hear,104
new,102
good,100
community,99
ask,98
country,97
question,93
protest,91
work,89
car,86
minneapolis,83
point,79
department,77
criminal,73
need,73
official,73
kind,71
moment,71
cnn,70
state,70
