Word,Frequency
ice,557
law,365
agent,331
officer,303
enforcement,273
minneapolis,272
federal,264
right,251
want,236
law enforcement,225
think,210
come,191
look,179
minnesota,179
city,176
good,175
president,174
happen,164
state,162
try,159
talk,150
protest,145
criminal,139
arrest,137
work,133
day,132
trump,132
mayor,130
car,127
tell,127
protester,124
let,120
street,118
thing,118
country,116
video,113
way,113
time,112
woman,111
ice agent,106
lot,102
investigation,101
need,101
new,99
illegal,97
immigration,97
individual,97
mean,97
watch,97
thank,95
